---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
479          81.99    50.11     ( 7/ 7)      Used -
480         710.95  1069.82     ( 7/ 7)      Used -
481          79.21    37.96     ( 7/ 7)      Used -
482        1019.25  1073.61     ( 7/ 7)      Used -
483         182.13   129.58     ( 7/ 7)      Used -
484         518.39   682.56     ( 7/ 7)      Used -
485          73.94    30.39     ( 7/ 7)      Used -
486          76.29    53.60     ( 7/ 7)      Used -
487        1260.33  1378.22     ( 7/ 7)      Used -
488          56.26    38.57     ( 7/ 7)      Used -
489         874.34   352.32     ( 7/ 7)      Used -
490          82.69    52.88     ( 7/ 7)      Used -
491         937.19   852.18     ( 7/ 7)      Used -
492          55.80    38.04     ( 7/ 7)      Used -
493         771.76  1107.57     ( 7/ 7)      Used -
494         184.64   313.61     ( 7/ 7)      Used -
495          16.39    23.17     ( 7/ 7)      Used -
496          84.69    36.71     ( 7/ 7)      Used -
497        1452.21   981.30     ( 6/ 6)      Used -
498         525.49   615.20     ( 6/ 6)      Used -
499          40.12    23.77     ( 6/ 6)      Used -
500          37.52    22.20     ( 6/ 6)      Used -
501          94.31    42.15     ( 6/ 6)      Used -
502          58.65    36.09     ( 6/ 6)      Used -
503          88.25    18.23     ( 6/ 6)      Used -
504          42.87    28.09     ( 6/ 6)      Used -
505          68.29    46.06     ( 6/ 6)      Used -
506          60.40    43.89     ( 6/ 6)      Used -
507          36.64    19.92     ( 6/ 6)      Used -
508         282.12   509.56     ( 6/ 6)      Used -
509          89.19    31.43     ( 6/ 6)      Used -
510          82.01    37.55     ( 6/ 6)      Used -
511          59.47    26.00     ( 6/ 6)      Used -
512          35.81    21.03     ( 6/ 6)      Used -
513         213.22   331.95     ( 6/ 6)      Used -
514          16.03    10.28     ( 6/ 6)      Used -
515          47.75    30.44     ( 6/ 6)      Used -
516          84.86    49.14     ( 6/ 6)      Used -
517          86.53    18.39     ( 6/ 6)      Used -
518         539.86  1099.60     ( 6/ 6)      Used -
519         258.35   232.46     ( 6/ 6)      Used -
520          69.98    41.02     ( 6/ 6)      Used -
521          65.36    34.73     ( 6/ 6)      Used -
522          20.40    12.03     ( 6/ 6)      Used -
523         103.40    30.32     ( 6/ 6)      Used -
524          88.04    38.16     ( 6/ 6)      Used -
525         909.92   890.92     ( 6/ 6)      Used -
526          38.49    23.13     ( 6/ 6)      Used -
527          20.04    28.38     ( 6/ 6)      Used -
528          51.64    37.39     ( 6/ 6)      Used -
529          59.74    29.93     ( 6/ 6)      Used -
530          89.64    47.88     ( 6/ 6)      Used -
531          89.66    32.95     ( 6/ 6)      Used -
532          90.84    20.41     ( 6/ 6)      Used -
533         124.15    42.30     ( 6/ 6)      Used -
534          87.79    45.48     ( 6/ 6)      Used -
535         698.87   380.13     ( 6/ 6)      Used -
536         229.84   388.71     ( 6/ 6)      Used -
537          71.91    41.96     ( 6/ 6)      Used -
538        1324.17   888.29     ( 6/ 6)      Used -
539        1144.81   778.50     ( 6/ 6)      Used -
540          30.55    20.59     ( 6/ 6)      Used -
541          32.74    41.42     ( 6/ 6)      Used -
542          38.82    25.94     ( 6/ 6)      Used -
543          53.03    12.00     ( 6/ 6)      Used -
544          51.57    12.06     ( 6/ 6)      Used -
545         628.26  1296.67     ( 6/ 6)      Used -
546         715.60  1477.71     ( 6/ 6)      Used -
547         310.07   577.09     ( 6/ 6)      Used -
548         361.12   280.33     ( 6/ 6)      Used -
549        1123.46  1473.11     ( 6/ 6)      Used -
550          69.75    38.70     ( 6/ 6)      Used -
551          36.48    19.96     ( 6/ 6)      Used -
552          68.29    42.88     ( 6/ 6)      Used -
553          58.51    35.48     ( 6/ 6)      Used -
554         382.72   241.85     ( 6/ 6)      Used -
555         579.40  1250.26     ( 6/ 6)      Used -
