-----------------------------------------------------
                   Tie Point Pixel Residuals         
=====================================================
PointId    Av.     Dev.       Nb.Obs.         State  
537          1.19    0.77     ( 6/ 6)          Used -
538        176.03   41.80     ( 3/ 6)          Used -
539          0.69    0.51     ( 4/ 6)          Used  
540          0.46    0.16     ( 6/ 6)          Used  
541          0.44    0.12     ( 6/ 6)          Used  
542          0.44    0.23     ( 6/ 6)          Used  
543          0.69    0.42     ( 6/ 6)          Used  
544          5.67   11.79     ( 6/ 6)          Used -
545          0.60    0.47     ( 6/ 6)          Used  
546          1.18    1.65     ( 6/ 6)          Used -
547          0.27    0.15     ( 6/ 6)          Used  
548          0.34    0.24     ( 6/ 6)          Used  
549          0.47    0.21     ( 6/ 6)          Used  
550          1.32    0.35     ( 6/ 6)          Used -
551          0.53    0.26     ( 6/ 6)          Used  
552          0.51    0.31     ( 6/ 6)          Used  
553          0.46    0.39     ( 6/ 6)          Used  
554          6.62    6.13     ( 2/ 6)          Used -
555          0.41    0.27     ( 6/ 6)          Used  
556          2.07    1.66     ( 4/ 6)          Used -
557          0.26    0.19     ( 6/ 6)          Used  
558          1.91    1.53     ( 6/ 6)          Used -
559          0.47    0.11     ( 6/ 6)          Used  
560          0.27    0.14     ( 3/ 6)          Used  
561          0.61    0.38     ( 4/ 6)          Used  
562          5.52    1.26     ( 5/ 6)          Used -
563          6.75    7.79     ( 6/ 6)          Used -
564          0.77    0.59     ( 6/ 6)          Used  
565          0.48    0.23     ( 6/ 6)          Used  
566          0.39    0.18     ( 6/ 6)          Used  
567          5.16    5.06     ( 4/ 6)          Used -
568          0.18    0.02     ( 3/ 6)          Used  
569          0.45    0.25     ( 6/ 6)          Used  
570          0.89    0.48     ( 6/ 6)          Used  
571          0.48    0.47     ( 6/ 6)          Used  
572          0.57    0.21     ( 6/ 6)          Used  
573          0.54    0.25     ( 6/ 6)          Used  
574          0.49    0.37     ( 6/ 6)          Used  
575          0.79    0.51     ( 6/ 6)          Used  
576          0.62    0.70     ( 6/ 6)          Used  
577          0.40    0.05     ( 6/ 6)          Used  
578          0.93    0.61     ( 6/ 6)          Used  
579          0.46    0.26     ( 6/ 6)          Used  
580          0.48    0.18     ( 6/ 6)          Used  
